Time Step,Time,RAIN_RATE,GIUH_RUNOFF,INFILTRATION_EXCESS,DIRECT_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,SOIL_TO_GW_FLUX,Q_OUT,POTENTIAL_ET,ACTUAL_ET,GW_STORAGE,SOIL_STORAGE,SOIL_STORAGE_CHANGE,SURF_RUNOFF_SCHEME,NWM_PONDED_DEPTH
0,2020-01-01 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000069,0.000000,0.003960,0.047550,0.000000,1.000000,0.000000
1,2020-01-01 01:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000053,0.000000,0.003951,0.047550,0.000000,1.000000,0.000000
2,2020-01-01 02:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000039,0.000000,0.003942,0.047550,0.000000,1.000000,0.000000
3,2020-01-01 03:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000033,0.000000,0.003934,0.047550,0.000000,1.000000,0.000000
4,2020-01-01 04:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000023,0.000000,0.003925,0.047550,0.000000,1.000000,0.000000
5,2020-01-01 05:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003916,0.047550,0.000000,1.000000,0.000000
6,2020-01-01 06:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003907,0.047550,0.000000,1.000000,0.000000
7,2020-01-01 07:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003899,0.047550,0.000000,1.000000,0.000000
8,2020-01-01 08:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003890,0.047550,0.000000,1.000000,0.000000
9,2020-01-01 09:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003881,0.047550,0.000000,1.000000,0.000000
10,2020-01-01 10:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003873,0.047550,0.000000,1.000000,0.000000
11,2020-01-01 11:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003864,0.047550,0.000000,1.000000,0.000000
12,2020-01-01 12:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003856,0.047550,0.000000,1.000000,0.000000
13,2020-01-01 13:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003847,0.047550,0.000000,1.000000,0.000000
