Time Step,Time,RAIN_RATE,GIUH_RUNOFF,INFILTRATION_EXCESS,DIRECT_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,SOIL_TO_GW_FLUX,Q_OUT,POTENTIAL_ET,ACTUAL_ET,GW_STORAGE,SOIL_STORAGE,SOIL_STORAGE_CHANGE,SURF_RUNOFF_SCHEME,NWM_PONDED_DEPTH
0,2020-01-01 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000549,0.000000,0.003957,0.047550,0.000000,1.000000,0.000000
1,2020-01-01 01:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000266,0.000000,0.003949,0.047550,0.000000,1.000000,0.000000
2,2020-01-01 02:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000219,0.000000,0.003940,0.047550,0.000000,1.000000,0.000000
3,2020-01-01 03:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000177,0.000000,0.003931,0.047550,0.000000,1.000000,0.000000
4,2020-01-01 04:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000174,0.000000,0.003922,0.047550,0.000000,1.000000,0.000000
5,2020-01-01 05:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000141,0.000000,0.003914,0.047550,0.000000,1.000000,0.000000
6,2020-01-01 06:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003905,0.047550,0.000000,1.000000,0.000000
7,2020-01-01 07:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003896,0.047550,0.000000,1.000000,0.000000
8,2020-01-01 08:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003888,0.047550,0.000000,1.000000,0.000000
9,2020-01-01 09:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003879,0.047550,0.000000,1.000000,0.000000
10,2020-01-01 10:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003871,0.047550,0.000000,1.000000,0.000000
11,2020-01-01 11:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003862,0.047550,0.000000,1.000000,0.000000
12,2020-01-01 12:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003854,0.047550,0.000000,1.000000,0.000000
13,2020-01-01 13:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003845,0.047550,0.000000,1.000000,0.000000
14,2020-01-01 14:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000000,0.000000,0.003837,0.047550,0.000000,1.000000,0.000000
15,2020-01-01 15:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000000,0.000000,0.003828,0.047550,0.000000,1.000000,0.000000
16,2020-01-01 16:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000000,0.000000,0.003820,0.047550,0.000000,1.000000,0.000000
17,2020-01-01 17:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000000,0.000000,0.003811,0.047550,0.000000,1.000000,0.000000
18,2020-01-01 18:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000197,0.000000,0.003803,0.047550,0.000000,1.000000,0.000000
19,2020-01-01 19:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000332,0.000000,0.003794,0.047550,0.000000,1.000000,0.000000
20,2020-01-01 20:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000330,0.000000,0.003786,0.047550,0.000000,1.000000,0.000000
21,2020-01-01 21:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000160,0.000000,0.003778,0.047550,0.000000,1.000000,0.000000
22,2020-01-01 22:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000085,0.000000,0.003769,0.047550,0.000000,1.000000,0.000000
23,2020-01-01 23:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000045,0.000000,0.003761,0.047550,0.000000,1.000000,0.000000
24,2020-01-02 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000008,0.000046,0.000000,0.003753,0.047550,0.000000,1.000000,0.000000
