Time Step,Time,RAIN_RATE,GIUH_RUNOFF,INFILTRATION_EXCESS,DIRECT_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,SOIL_TO_GW_FLUX,Q_OUT,POTENTIAL_ET,ACTUAL_ET,GW_STORAGE,SOIL_STORAGE,SOIL_STORAGE_CHANGE,SURF_RUNOFF_SCHEME,NWM_PONDED_DEPTH
0,2020-01-01 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000069,0.000000,0.003957,0.047550,0.000000,1.000000,0.000000
1,2020-01-01 01:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000053,0.000000,0.003949,0.047550,0.000000,1.000000,0.000000
2,2020-01-01 02:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000041,0.000000,0.003940,0.047550,0.000000,1.000000,0.000000
3,2020-01-01 03:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000034,0.000000,0.003931,0.047550,0.000000,1.000000,0.000000
4,2020-01-01 04:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000025,0.000000,0.003922,0.047550,0.000000,1.000000,0.000000
5,2020-01-01 05:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000020,0.000000,0.003914,0.047550,0.000000,1.000000,0.000000
6,2020-01-01 06:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003905,0.047550,0.000000,1.000000,0.000000
7,2020-01-01 07:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003896,0.047550,0.000000,1.000000,0.000000
8,2020-01-01 08:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003888,0.047550,0.000000,1.000000,0.000000
9,2020-01-01 09:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000009,0.000000,0.000000,0.003879,0.047550,0.000000,1.000000,0.000000
